Serial number,ratings,discounts,prices,brand,energy_rating,capacity,max_spin_speed,price_category
0,24972,23,18790,Whirlpool,5,8,740,Medium
1,11841,39,15490,Panasonic,5,7,700,Medium
2,24972,24,14590,Whirlpool,5,7,740,Medium
3,22205,25,12890,Whirlpool,5,8.5,1400,Medium
4,37103,19,11490,LG,5,7,1350,Medium
5,25546,41,11790,realme TechLife,5,7.5,700,Medium
6,73103,20,17990,SAMSUNG,5,7,700,Medium
7,5438,27,12990,Godrej,5,6.5,720,Medium
8,69163,36,7890,realme TechLife,5,7,1400,Low
9,20325,24,17990,IFB,5,7,720,Medium
10,4146,26,14999,Thomson,5,10,900,Medium
11,24972,24,17539,Whirlpool,5,7.5,740,Medium
12,22205,27,9890,Whirlpool,5,7,1400,Low
13,4146,25,15999,Thomson,5,11,900,Medium
14,2228,50,10990,realme TechLife,5,7,700,Medium
15,73103,25,19990,SAMSUNG,5,8,700,Medium
16,5438,48,13990,Godrej,5,7,720,Medium
17,92,24,43000,LG,5,9,1400,Very High
18,69163,42,7990,realme TechLife,5,7.5,1400,Low
19,10241,45,10990,Voltas Beko,5,8.5,1350,Medium
20,11841,16,13990,Panasonic,4,6,680,Medium
21,11841,38,14490,Panasonic,5,6.5,700,Medium
22,20325,25,17990,IFB,5,7,720,Medium
23,67749,36,18990,LG,5,8,700,Medium
24,21763,43,6790,MarQ by Flipkart,5,6,1350,Low
25,15824,31,7899,Thomson,5,7.5,1400,Low
26,5438,27,12990,Godrej,5,6.5,720,Medium
27,4146,26,14999,Thomson,5,10,900,Medium
28,24972,24,15990,Whirlpool,5,6.5,740,Medium
29,67749,16,17490,LG,5,7,700,Medium
30,24972,24,17539,Whirlpool,5,7.5,740,Medium
31,4146,25,15999,Thomson,5,11,900,Medium
32,69163,48,9690,realme TechLife,5,8.5,1400,Low
33,84073,20,25990,IFB,5,7,1000,High
34,29535,46,13990,Haier,5,7,800,Medium
35,84073,26,33990,IFB,5,8,1200,Very High
36,5438,48,13990,Godrej,5,7,720,Medium
37,11841,16,13990,Panasonic,4,6,680,Medium
38,84073,24,32990,IFB,5,8,1200,Very High
39,18767,21,16590,SAMSUNG,3,7,680,Medium
40,11841,38,14490,Panasonic,5,6.5,700,Medium
41,92,24,43000,LG,5,9,1400,Very High
42,10241,45,12690,Voltas Beko,5,9,1350,Medium
43,51640,46,7490,MarQ by Flipkart,5,7,1350,Low
45,5443,47,10990,MOTOROLA,5,10,1350,Medium
46,24972,24,22990,Whirlpool,5,9,740,High
47,14542,23,16590,Whirlpool,5,7,740,Medium
48,23378,30,26990,LG,5,7,1200,High
49,24972,24,17539,Whirlpool,5,7.5,740,Medium
50,4146,26,13999,Thomson,5,9,900,Medium
51,10241,30,16999,Voltas Beko,5,14,1350,Medium
52,22205,25,12390,Whirlpool,5,8,1400,Medium
53,22205,26,10790,Whirlpool,5,7.5,1400,Medium
54,10241,45,10290,Voltas Beko,5,8,1350,Medium
55,1554,27,22990,IFB,5,6,1000,High
56,2689,45,17990,Godrej,5,8,650,Medium
57,346,46,24990,Godrej,5,7,1000,High
58,21344,26,12990,Whirlpool,5,6,740,Medium
59,84073,22,37990,IFB,5,9,1400,Very High
60,11841,19,19990,Panasonic,5,8,702,Medium
61,460,16,37990,Whirlpool,5,9,1200,Very High
62,14728,32,37990,SAMSUNG,5,8,1400,Very High
63,2689,32,13490,Godrej,5,7,720,Medium
64,22205,29,8990,Whirlpool,5,6.5,1400,Low
65,2228,47,12690,realme TechLife,5,8,700,Medium
66,460,21,30990,Whirlpool,5,8,1400,Very High
67,45,53,34990,Electrolux,5,9,1200,Very High
68,24972,24,22990,Whirlpool,5,9,740,High
69,23378,34,28990,LG,5,7,1200,High
70,332,26,25990,Whirlpool,5,7,1000,High
71,11841,21,17990,Panasonic,5,7,702,Medium
72,23378,28,35990,LG,5,8,1200,Very High
73,11841,39,15490,Panasonic,5,7,700,Medium
74,5443,41,13490,MOTOROLA,5,14,1350,Medium
75,37218,22,9690,SAMSUNG,5,6.5,1350,Low
76,1627,42,19990,MOTOROLA,5,7,1000,Medium
77,51640,44,7190,MarQ by Flipkart,5,6.5,1350,Low
78,7675,27,14490,LG,5,8.5,1300,Medium
